original_index,filename,dataset_source,label,country_code,avg_red,avg_green,avg_blue,brightness,saturation,red_tendency,blue_tendency,processed_successfully,color_cluster,color_name
1240,DE-213.jpg,countries,DE,DE,0.580058431372549,0.5481215686274509,0.36211372549019605,0.49676457516339867,0.6345945098039215,0.3892239712394828,0.24298128369949615,True,0,Warm_Tones
1241,DE-214.jpg,countries,DE,DE,0.39556313725490194,0.616252156862745,0.44639803921568627,0.4860711111111111,0.8259898039215686,0.2712654293766842,0.3061264925268322,True,1,Cool_Tones
1242,DE-215.jpg,countries,DE,DE,0.3523219607843137,0.4098309803921569,0.43587607843137255,0.39934300653594773,0.44967490196078436,0.2940844177674621,0.3638273426354124,True,1,Cool_Tones
1243,DE-216.jpg,countries,DE,DE,0.7553560784313725,0.6290517647058823,0.20751019607843138,0.5306393464052287,0.7747682352941176,0.47449402879403013,0.13035222958365297,True,0,Warm_Tones
1244,DE-217.jpg,countries,DE,DE,0.515381568627451,0.31767764705882356,0.1477529411764706,0.32693738562091507,0.7638576470588235,0.5254635554400229,0.1506433107494979,True,3,Vibrant_Bright
1245,DE-218.jpg,countries,DE,DE,0.6955596078431373,0.6536141176470589,0.5989172549019607,0.649363660130719,0.24238352941176472,0.35704659474195827,0.30743787302147657,True,2,Neutral_Colors
1246,DE-219.jpg,countries,DE,DE,0.7440082352941177,0.6706266666666667,0.4715949019607843,0.6287432679738563,0.44372,0.3944417797372873,0.2500197223904491,True,2,Neutral_Colors
1247,DE-22.jpg,countries,DE,DE,0.5188054901960785,0.5019509803921569,0.35049529411764707,0.45708392156862754,0.47953098039215686,0.37834417078266097,0.2556022515606918,True,0,Warm_Tones
1248,DE-220.jpg,countries,DE,DE,0.39489529411764707,0.4552745098039216,0.22965019607843137,0.35994,0.5353188235294118,0.36570440296831336,0.21267431924219976,True,4,Dark_Moody
1249,DE-221.jpg,countries,DE,DE,0.0797721568627451,0.31181176470588234,0.29393098039215687,0.2285049673202614,0.7246505882352942,0.11636806182697211,0.42877339468191,True,1,Cool_Tones
1250,DE-222.jpg,countries,DE,DE,0.8664498039215687,0.8026125490196079,0.5607227450980392,0.7432616993464052,0.37827764705882355,0.3885797856052156,0.25146929814977154,True,5,Balanced_Natural
1251,DE-223.jpg,countries,DE,DE,0.6377705882352941,0.6746019607843138,0.6526541176470587,0.6550088888888889,0.2776137254901961,0.3245606151271971,0.33213482370666814,True,2,Neutral_Colors
1252,DE-224.jpg,countries,DE,DE,0.48004431372549017,0.5192905882352941,0.47315450980392154,0.4908298039215686,0.308778431372549,0.3260084479261099,0.3213294334710605,True,2,Neutral_Colors
1253,DE-225.jpg,countries,DE,DE,0.25345215686274514,0.39372117647058824,0.41898705882352943,0.3553867973856209,0.7250513725490196,0.23772400569674268,0.3929865233404405,True,1,Cool_Tones
1254,DE-226.jpg,countries,DE,DE,0.38342,0.40682627450980396,0.323476862745098,0.37124104575163397,0.5906788235294117,0.34426837595982296,0.29044612747857035,True,4,Dark_Moody
1255,DE-227.jpg,countries,DE,DE,0.6135560784313725,0.6554101960784314,0.37258,0.547182091503268,0.49887647058823525,0.3737669258502418,0.22696879083866725,True,0,Warm_Tones
1256,DE-228.jpg,countries,DE,DE,0.5719701960784314,0.6375866666666666,0.42110156862745096,0.5435528104575164,0.4123619607843137,0.3507600576025835,0.2582400472629676,True,2,Neutral_Colors
1257,DE-229.jpg,countries,DE,DE,0.5464447058823529,0.543964705882353,0.483841568627451,0.5247503267973856,0.3029749019607843,0.34711387547133965,0.30734696519608173,True,2,Neutral_Colors
1258,DE-23.jpg,countries,DE,DE,0.4247549019607843,0.5280160784313725,0.4620580392156863,0.47160967320261443,0.4959113725490196,0.3002162069465533,0.3265820153743682,True,1,Cool_Tones
1259,DE-230.jpg,countries,DE,DE,0.42115725490196076,0.39082941176470587,0.38224862745098037,0.398078431372549,0.5303635294117648,0.3526582276693657,0.3200778852006018,True,4,Dark_Moody
1260,DE-231.jpg,countries,DE,DE,0.5454070588235295,0.5034607843137254,0.42229764705882356,0.49038849673202617,0.4047349019607843,0.37073102361843296,0.2870495282981462,True,2,Neutral_Colors
1261,DE-232.jpg,countries,DE,DE,0.3321466666666667,0.5082211764705882,0.5783423529411765,0.47290339869281045,0.5692521568627451,0.23411859128537144,0.4076533367325338,True,1,Cool_Tones
1262,DE-233.jpg,countries,DE,DE,0.41756705882352946,0.4508043137254902,0.3167145098039216,0.39502862745098044,0.4546807843137255,0.3523514309722737,0.2672500341705732,True,4,Dark_Moody
1263,DE-234.jpg,countries,DE,DE,0.7868733333333334,0.6886976470588235,0.3539843137254902,0.6098517647058824,0.5244325490196079,0.4300897085611811,0.1934809630420302,True,0,Warm_Tones
1264,DE-235.jpg,countries,DE,DE,0.350978431372549,0.5188905882352942,0.21272627450980391,0.3608650980392157,0.6995760784313725,0.3242006584352928,0.1964964000575885,True,4,Dark_Moody
1265,DE-236.jpg,countries,DE,DE,0.47184627450980393,0.5191623529411765,0.4760407843137255,0.48901647058823533,0.21262627450980393,0.32162921650539805,0.32448836147429927,True,2,Neutral_Colors
1266,DE-237.jpg,countries,DE,DE,0.36919215686274515,0.44302117647058825,0.390158431372549,0.4007905882352942,0.537661568627451,0.30705299363051924,0.32449040998361883,True,4,Dark_Moody
1267,DE-238.jpg,countries,DE,DE,0.336258431372549,0.5039070588235294,0.39189450980392154,0.41068666666666664,0.5051686274509805,0.27292352519278595,0.31808044390977525,True,1,Cool_Tones
1268,DE-239.jpg,countries,DE,DE,0.6332101960784314,0.7120035294117647,0.611855294117647,0.652356339869281,0.3770886274509804,0.32355009771459986,0.31263842784748724,True,2,Neutral_Colors
1269,DE-24.jpg,countries,DE,DE,0.695315294117647,0.6561117647058824,0.4927345098039216,0.6147205228758169,0.3851380392156863,0.37703579171718427,0.2671860486630783,True,2,Neutral_Colors
1270,DE-240.jpg,countries,DE,DE,0.6068109803921569,0.5169427450980393,0.3848764705882353,0.5028767320261438,0.4945717647058823,0.40222619151023425,0.2551163409511162,True,0,Warm_Tones
1271,DE-241.jpg,countries,DE,DE,0.6907286274509804,0.6902807843137255,0.5438423529411764,0.6416172549019609,0.3004537254901961,0.3588475129714785,0.2825371181178502,True,2,Neutral_Colors
1272,DE-242.jpg,countries,DE,DE,0.42265137254901963,0.47206156862745097,0.2349521568627451,0.3765550326797386,0.5411568627450981,0.3741383168731222,0.20798371949955505,True,0,Warm_Tones
1273,DE-243.jpg,countries,DE,DE,0.4736337254901961,0.5707866666666667,0.5454619607843137,0.5299607843137255,0.39169176470588235,0.29790470138202646,0.3430830065458866,True,2,Neutral_Colors
1274,DE-244.jpg,countries,DE,DE,0.36415686274509806,0.4096050980392157,0.26262392156862746,0.34546196078431374,0.5013454901960784,0.3513715475810939,0.25340336320388795,True,4,Dark_Moody
1275,DE-245.jpg,countries,DE,DE,0.46462,0.4008592156862745,0.2885149019607843,0.3846647058823529,0.46556549019607846,0.40261868780462273,0.2500139710721242,True,4,Dark_Moody
1276,DE-246.jpg,countries,DE,DE,0.4877772549019608,0.48486823529411766,0.40649254901960785,0.45971267973856206,0.4360407843137255,0.35368243594885024,0.2947437041959014,True,4,Dark_Moody
1277,DE-247.jpg,countries,DE,DE,0.4510470588235294,0.5002729411764706,0.3659498039215686,0.4390899346405228,0.4008513725490196,0.34241027545797276,0.2778090904559042,True,4,Dark_Moody
1278,DE-248.jpg,countries,DE,DE,0.5141929411764706,0.4986011764705882,0.5031329411764706,0.505309019607843,0.06215058823529412,0.3391934981238634,0.3318976373898234,True,2,Neutral_Colors
1279,DE-249.jpg,countries,DE,DE,0.37483176470588236,0.3357058823529412,0.2232992156862745,0.31127895424836605,0.4379462745098039,0.40138848472478034,0.2391198992830157,True,4,Dark_Moody
1280,DE-25.jpg,countries,DE,DE,0.5843066666666666,0.6325098039215686,0.6021478431372549,0.6063214379084967,0.2439678431372549,0.32123024131225825,0.33103866170156576,True,2,Neutral_Colors
1281,DE-250.jpg,countries,DE,DE,0.7625952941176471,0.7495560784313725,0.7519796078431372,0.7547103267973857,0.07771098039215686,0.33681574251054147,0.3321271084704573,True,5,Balanced_Natural
1282,DE-251.jpg,countries,DE,DE,0.3571043137254902,0.23791019607843136,0.13451607843137256,0.24317686274509806,0.6565196078431372,0.48949808272087336,0.1843869142894295,True,3,Vibrant_Bright
1283,DE-252.jpg,countries,DE,DE,0.4483823529411765,0.6156713725490196,0.5473690196078432,0.5371409150326798,0.536875294117647,0.2782522935417567,0.3396803735038304,True,1,Cool_Tones
1284,DE-253.jpg,countries,DE,DE,0.44354941176470586,0.590775294117647,0.4992298039215686,0.5111848366013071,0.34711372549019603,0.2892294468176229,0.325537485099186,True,2,Neutral_Colors
1285,DE-254.jpg,countries,DE,DE,0.4057764705882353,0.4751419607843137,0.33975725490196074,0.40689189542483656,0.32749254901960784,0.33241928444350005,0.2783351715669247,True,4,Dark_Moody
1286,DE-255.jpg,countries,DE,DE,0.36318196078431375,0.4034772549019608,0.3115266666666667,0.3593952941176471,0.572526274509804,0.33684509311756516,0.28893568616492343,True,4,Dark_Moody
1287,DE-256.jpg,countries,DE,DE,0.5305298039215687,0.4343443137254902,0.3144741176470588,0.4264494117647059,0.40107333333333334,0.41468724042313737,0.24580787557571204,True,0,Warm_Tones
1288,DE-257.jpg,countries,DE,DE,0.6068690196078431,0.43906078431372547,0.33856039215686273,0.4614967320261438,0.4250509803921569,0.43833360683462524,0.24453777179359062,True,0,Warm_Tones
1289,DE-258.jpg,countries,DE,DE,0.8256431372549019,0.6357929411764706,0.6183988235294118,0.6932783006535947,0.29267764705882354,0.39697513466159484,0.29733058408425905,True,2,Neutral_Colors
1290,DE-259.jpg,countries,DE,DE,0.6798152941176471,0.6838380392156863,0.6844129411764706,0.6826887581699346,0.1460078431372549,0.3319301580463747,0.33417502915781017,True,5,Balanced_Natural
1291,DE-26.jpg,countries,DE,DE,0.5883305882352942,0.7444176470588235,0.5890976470588235,0.6406152941176471,0.37330823529411766,0.3061277116494284,0.3065268375270271,True,2,Neutral_Colors
1292,DE-260.jpg,countries,DE,DE,0.8007956862745098,0.7590349019607843,0.5914176470588235,0.7170827450980392,0.2751592156862745,0.37224681972520285,0.27491823697404605,True,5,Balanced_Natural
1293,DE-261.jpg,countries,DE,DE,0.9378592156862745,0.9376980392156863,0.9345854901960784,0.936714248366013,0.011363137254901961,0.333740655552677,0.33257568828155193,True,5,Balanced_Natural
1294,DE-262.jpg,countries,DE,DE,0.4942074509803922,0.5410458823529412,0.47859333333333337,0.5046155555555556,0.46038039215686277,0.3264578476833042,0.3161436542602371,True,2,Neutral_Colors
1295,DE-263.jpg,countries,DE,DE,0.9138450980392157,0.9085184313725491,0.8105372549019608,0.8776335947712419,0.14032549019607843,0.34708666441099784,0.3078494077260956,True,5,Balanced_Natural
1296,DE-264.jpg,countries,DE,DE,0.3321356862745098,0.3374168627450981,0.2436258823529412,0.30439281045751637,0.33666274509803923,0.3637134990823163,0.26678862223907157,True,4,Dark_Moody
1297,DE-265.jpg,countries,DE,DE,0.386998431372549,0.4025027450980392,0.36239843137254907,0.3839665359477124,0.4284305882352941,0.3359651247143447,0.31460911549575254,True,4,Dark_Moody
1298,DE-266.jpg,countries,DE,DE,0.39980745098039217,0.5441980392156862,0.5618337254901961,0.5019464052287582,0.4455486274509804,0.26550456470455147,0.3731031484201296,True,1,Cool_Tones
1299,DE-267.jpg,countries,DE,DE,0.76142,0.7639996078431373,0.6830317647058823,0.7361504575163398,0.1661658823529412,0.3447753773024142,0.3092807312468866,True,5,Balanced_Natural
1300,DE-268.jpg,countries,DE,DE,0.3007341176470588,0.5249513725490196,0.5148070588235294,0.4468308496732026,0.6194560784313725,0.22434581491794997,0.38404292150457725,True,1,Cool_Tones
1301,DE-269.jpg,countries,DE,DE,0.5928109803921568,0.5236043137254902,0.46105686274509805,0.5258240522875818,0.44303764705882354,0.37579782439602993,0.29227556788480696,True,2,Neutral_Colors
1302,DE-27.jpg,countries,DE,DE,0.5154188235294118,0.522443137254902,0.42813333333333337,0.4886650980392157,0.2898101960784314,0.35158262377438804,0.29204257544935885,True,2,Neutral_Colors
1303,DE-270.jpg,countries,DE,DE,0.34491686274509803,0.41425098039215685,0.132141568627451,0.29710313725490195,0.8712180392156862,0.38697726200931165,0.1482553854227102,True,3,Vibrant_Bright
1304,DE-271.jpg,countries,DE,DE,0.12184352941176471,0.1210650980392157,0.05665568627450981,0.09985477124183006,0.5252886274509804,0.4067344376305773,0.18912632297084583,True,3,Vibrant_Bright
1305,DE-272.jpg,countries,DE,DE,0.5452913725490196,0.6259482352941177,0.5751388235294118,0.5821261437908497,0.39886352941176473,0.31224106442919647,0.3293321103062851,True,2,Neutral_Colors
1306,DE-273.jpg,countries,DE,DE,0.25068549019607844,0.24444,0.12965176470588236,0.20825908496732026,0.6037984313725491,0.4012391408139126,0.20751644873784394,True,3,Vibrant_Bright
1307,DE-274.jpg,countries,DE,DE,0.6213211764705883,0.7593337254901961,0.5836964705882353,0.6547837908496732,0.38888392156862744,0.3162982289497978,0.29714448321245346,True,2,Neutral_Colors
1308,DE-275.jpg,countries,DE,DE,0.48745254901960783,0.47863333333333336,0.39343725490196074,0.4531743790849673,0.5842580392156863,0.3585464469971478,0.2893933576614343,True,0,Warm_Tones
1309,DE-276.jpg,countries,DE,DE,0.6540866666666667,0.6263372549019608,0.44525882352941176,0.5752275816993464,0.3595129411764706,0.37903043852887824,0.25801878518831145,True,2,Neutral_Colors
1310,DE-277.jpg,countries,DE,DE,0.5263450980392157,0.5928894117647059,0.3153294117647059,0.47818797385620915,0.6128482352941176,0.3669022503796362,0.21980839418540113,True,0,Warm_Tones
1311,DE-278.jpg,countries,DE,DE,0.6173866666666668,0.5487505882352941,0.5693211764705882,0.5784861437908497,0.2556949019607843,0.3557482563440765,0.32805213776753084,True,2,Neutral_Colors
1312,DE-279.jpg,countries,DE,DE,0.2601294117647059,0.32799215686274513,0.10331333333333333,0.2304783006535948,0.719729411764706,0.3762162349785815,0.14941852605621983,True,3,Vibrant_Bright
1313,DE-28.jpg,countries,DE,DE,0.773203137254902,0.7324325490196079,0.6810694117647058,0.7289016993464053,0.15535960784313727,0.353592619487466,0.31145905358539483,True,5,Balanced_Natural
1314,DE-280.jpg,countries,DE,DE,0.6305427450980392,0.5125749019607844,0.2446662745098039,0.4625946405228758,0.618356862745098,0.4543519210349471,0.17629985072417068,True,0,Warm_Tones
1315,DE-281.jpg,countries,DE,DE,0.46472,0.598078431372549,0.3223180392156863,0.4617054901960785,0.5741470588235295,0.3355094494639805,0.2327008691030396,True,0,Warm_Tones
1316,DE-282.jpg,countries,DE,DE,0.2472156862745098,0.37344745098039217,0.10288117647058824,0.24118143790849675,0.7646388235294118,0.34167270741014333,0.14219037082951916,True,3,Vibrant_Bright
1317,DE-283.jpg,countries,DE,DE,0.33899725490196075,0.32064196078431373,0.24383607843137253,0.301158431372549,0.3602537254901961,0.3752143328044176,0.2698865260980729,True,4,Dark_Moody
1318,DE-284.jpg,countries,DE,DE,0.7562603921568627,0.7583196078431372,0.6035960784313725,0.7060586928104575,0.2850623529411765,0.3570336020805755,0.2849601596474497,True,5,Balanced_Natural
1319,DE-285.jpg,countries,DE,DE,0.7356717647058824,0.6413196078431372,0.5454607843137255,0.640817385620915,0.32429058823529416,0.38267344100411094,0.2837316385923619,True,2,Neutral_Colors
1320,DE-286.jpg,countries,DE,DE,0.6564874509803922,0.6578917647058824,0.4952898039215686,0.6032230065359477,0.38620509803921566,0.36276638495821106,0.2736906720866704,True,2,Neutral_Colors
1321,DE-287.jpg,countries,DE,DE,0.3341780392156863,0.34704862745098036,0.24773490196078432,0.3096538562091503,0.4127749019607843,0.3597325129143113,0.26667910024277347,True,4,Dark_Moody
1322,DE-288.jpg,countries,DE,DE,0.6186086274509804,0.6251941176470588,0.3359019607843137,0.5265682352941177,0.5344964705882354,0.3915973875054489,0.21263578369915043,True,0,Warm_Tones
1323,DE-289.jpg,countries,DE,DE,0.4895411764705882,0.5780937254901961,0.5267149019607843,0.5314499346405229,0.5300266666666666,0.3070473419441198,0.33036324293577185,True,2,Neutral_Colors
1324,DE-29.jpg,countries,DE,DE,0.7046290196078431,0.7076313725490196,0.7083870588235294,0.7068824836601307,0.1340392156862745,0.3322705464369107,0.3340426644010876,True,5,Balanced_Natural
1325,DE-290.jpg,countries,DE,DE,0.433523137254902,0.384363137254902,0.21483725490196076,0.3442411764705882,0.5919917647058823,0.4197858430861857,0.20802958464086363,True,3,Vibrant_Bright
1326,DE-291.jpg,countries,DE,DE,0.38055098039215685,0.377381568627451,0.3362443137254902,0.3647256209150327,0.3145113725490196,0.34779627092566284,0.3073031589963929,True,4,Dark_Moody
